date,value
2020-12-24,6.519200
2020-12-25,6.519300
2020-12-28,6.532200
2020-12-29,6.517900
2020-12-30,6.506100
2020-12-31,6.502900
2021-01-01,6.505000
2021-01-04,6.455000
2021-01-05,6.436800
2021-01-06,6.449500
2021-01-07,6.471300
2021-01-08,6.465000
2021-01-11,6.479300
2021-01-12,6.442500
2021-01-13,6.467000
2021-01-14,6.464200
2021-01-15,6.484800
2021-01-18,6.495700
2021-01-19,6.481000
2021-01-20,6.462100
2021-01-21,6.465000
2021-01-22,6.497100
2021-01-25,6.487100
2021-01-26,6.472900
2021-01-27,6.497100
2021-01-28,6.475200
2021-01-29,6.452200
2021-02-01,6.475700
2021-02-02,6.457400
2021-02-03,6.457900
2021-02-04,6.472700
2021-02-05,6.457900
2021-02-08,6.441700
2021-02-09,6.418500
2021-02-10,6.428700
2021-02-11,6.423300
2021-02-12,6.420200
2021-02-15,6.406200
2021-02-16,6.425800
2021-02-17,6.435800
2021-02-18,6.460000
2021-02-19,6.459600
2021-02-22,6.466200
2021-02-23,6.460800
2021-02-24,6.447600
2021-02-25,6.490100
2021-02-26,6.480600
2021-03-01,6.469200
2021-03-02,6.475200
2021-03-03,6.477600
2021-03-04,6.491600
2021-03-05,6.516300
2021-03-08,6.551800
2021-03-09,6.519800
2021-03-10,6.494600
2021-03-11,6.478500
2021-03-12,6.496800
2021-03-15,6.498200
2021-03-16,6.500900
2021-03-17,6.485600
2021-03-18,6.508300
2021-03-19,6.507400
2021-03-22,6.507200
2021-03-23,6.518400
2021-03-24,6.529500
2021-03-25,6.548500
2021-03-26,6.540800
2021-03-29,6.574900
2021-03-30,6.572600
2021-03-31,6.564200
2021-04-01,6.575400
2021-04-02,6.577200
2021-04-05,6.556400
2021-04-06,6.542800
2021-04-07,6.549800
2021-04-08,6.556300
2021-04-09,6.559100
2021-04-12,6.547700
2021-04-13,6.543500
2021-04-14,6.532200
2021-04-15,6.526700
2021-04-16,6.527700
2021-04-19,6.508900
2021-04-20,6.500500
2021-04-21,6.491100
2021-04-22,6.494000
2021-04-23,6.490300
2021-04-26,6.472200
2021-04-27,6.479200
2021-04-28,6.475800
2021-04-29,6.464500
2021-04-30,6.473500
2021-05-03,6.470300
2021-05-04,6.483900
2021-05-05,6.487900
2021-05-06,6.464400
2021-05-07,6.416600
2021-05-10,6.422100
2021-05-11,6.428700
2021-05-12,6.460300
2021-05-13,6.448800
2021-05-14,6.440200
2021-05-17,6.443100
2021-05-18,6.423900
2021-05-19,6.439800
2021-05-20,6.431600
2021-05-21,6.436400
2021-05-24,6.409500
2021-05-25,6.412700
2021-05-26,6.379800
2021-05-27,6.371200
2021-05-28,6.359300
2021-05-31,6.372400
2021-06-01,6.384500
2021-06-02,6.384000
2021-06-03,6.399800
2021-06-04,6.390500
2021-06-07,6.386800
2021-06-08,6.400200
2021-06-09,6.386900
2021-06-10,6.386100
2021-06-11,6.396500
2021-06-14,6.406000
2021-06-15,6.405600
2021-06-16,6.439400
2021-06-17,6.457300
2021-06-18,6.463400
2021-06-21,6.465200
2021-06-22,6.480200
2021-06-23,6.479000
2021-06-24,6.470600
2021-06-25,6.461400
2021-06-28,6.460500
2021-06-29,6.464900
2021-06-30,6.467800
2021-07-01,6.473600
2021-07-02,6.471600
2021-07-05,6.462100
2021-07-06,6.478400
2021-07-07,6.474200
2021-07-08,6.492100
2021-07-09,6.478800
2021-07-12,6.475300
2021-07-13,6.480500
2021-07-14,6.458200
2021-07-15,6.461000
2021-07-16,6.477100
2021-07-19,6.493300
2021-07-20,6.487900
2021-07-21,6.464200
2021-07-22,6.476400
2021-07-23,6.475900
2021-07-26,6.483700
2021-07-27,6.528600
2021-07-28,6.485800
2021-07-29,6.457300
2021-07-30,6.461700
2021-08-02,6.463900
2021-08-03,6.466000
2021-08-04,6.462100
2021-08-05,6.462600
2021-08-06,6.478400
2021-08-09,6.487600
2021-08-10,6.488500
2021-08-11,6.475800
2021-08-12,6.477300
2021-08-13,6.477600
2021-08-16,6.477000
2021-08-17,6.491700
2021-08-18,6.485200
2021-08-19,6.501900
2021-08-20,6.499400
2021-08-23,6.476300
2021-08-24,6.469500
2021-08-25,6.470200
2021-08-26,6.483400
2021-08-27,6.462700
2021-08-30,6.465000
2021-08-31,6.454200
2021-09-01,6.451700
2021-09-02,6.448500
2021-09-03,6.439400
2021-09-06,6.450700
2021-09-07,6.461500
2021-09-08,6.458300
2021-09-09,6.450900
2021-09-10,6.445300
2021-09-13,6.441800
2021-09-14,6.434900
2021-09-15,6.427300
2021-09-16,6.454400
2021-09-17,6.472300
2021-09-20,6.483800
2021-09-21,6.482000
2021-09-22,6.468600
2021-09-23,6.462300
2021-09-24,6.461300
2021-09-27,6.459500
2021-09-28,6.466400
2021-09-29,6.477500
2021-09-30,6.449300
2021-10-01,6.435100
2021-10-04,6.450600
2021-10-05,6.448800
2021-10-06,6.454000
2021-10-07,6.453100
2021-10-08,6.446100
2021-10-11,6.459700
2021-10-12,6.455700
2021-10-13,6.428300
2021-10-14,6.435800
2021-10-15,6.434600
2021-10-18,6.428400
2021-10-19,6.376600
2021-10-20,6.395200
2021-10-21,6.394500
2021-10-22,6.383900
2021-10-25,6.384500
2021-10-26,6.378500
2021-10-27,6.393800
2021-10-28,6.388200
2021-10-29,6.406300
2021-11-01,6.394200
2021-11-02,6.402800
2021-11-03,6.394600
2021-11-04,6.397000
